"id_requisicao","num_movimentacoes","num_anexos","valor_estimado","dias_em_processamento","passou_distribuidora","id_tipo_irregularidade","id_subtipo_irregularidade","tem_descricao","tem_link_fatura","tem_periodos","avancou"
16553,38,0,6000.00,958,0,2,4,1,1,1,1
16554,38,2,5500.00,958,0,2,4,1,1,1,1
16555,36,2,5000.00,958,0,2,4,1,1,1,1
16559,40,2,5000.00,958,0,2,4,1,1,1,1
16560,43,2,4000.00,958,0,2,4,1,1,1,1
16563,23,1,10000.00,957,0,2,4,1,1,1,1
16566,24,0,3000.00,957,0,2,4,1,1,1,1
16574,54,0,1000.00,952,0,5,12,1,1,1,1
16575,40,0,1000.00,952,0,5,12,1,1,1,1
16576,7,0,1000.00,952,0,5,12,1,1,1,1
16577,43,0,1000.00,952,0,5,12,1,1,1,1
16578,49,0,1000.00,952,0,5,12,1,1,1,1
16579,25,0,1000.00,952,0,5,12,1,1,1,1
16580,51,0,1000.00,952,0,5,12,1,1,1,1
16581,68,0,1000.00,952,0,2,4,1,1,1,1
16582,46,1,260000.00,950,0,2,4,1,1,1,1
16583,17,0,16000.00,950,0,2,4,1,1,1,1
16594,31,0,20000.00,950,0,2,4,1,1,1,1
16595,45,0,8000.00,950,0,2,4,1,1,1,1
16596,40,0,11000.00,950,0,2,4,1,1,1,1
16597,50,0,6000.00,950,0,2,4,1,1,1,1
16598,38,0,5000.00,950,0,2,4,1,1,1,1
16599,33,0,41000.00,950,0,2,4,1,1,1,1
16601,31,0,8200.00,950,0,2,4,1,1,1,1
16602,34,0,7000.00,950,0,2,4,1,1,1,1
16603,41,0,8000.00,950,0,2,4,1,1,1,1
16604,40,0,20000.00,950,0,2,4,1,1,1,1
16605,54,0,46000.00,950,0,2,4,1,1,1,1
16610,22,0,5000.00,950,0,2,4,1,1,1,1
16612,20,1,6200.00,950,0,2,4,1,1,1,1
16614,27,1,22000.00,950,0,3,5,1,1,1,1
16615,23,2,15000.00,950,0,3,5,1,1,1,1
16618,20,2,26000.00,950,0,3,6,1,1,1,1
16619,26,0,6000.00,950,0,2,4,1,1,1,1
16621,58,0,70000.00,950,0,3,6,1,1,1,1
16622,48,0,34000.00,950,0,2,4,1,1,1,1
16624,16,0,10000.00,608,0,2,4,1,1,1,1
16625,57,0,110000.00,950,0,3,6,1,1,1,1
16628,63,0,100000.00,946,0,3,5,1,1,1,1
16629,64,0,120000.00,946,0,7,11,1,1,1,1
16632,37,0,24000.00,946,0,7,11,1,1,1,1
16634,28,0,10000.00,946,0,2,4,1,1,1,1
16635,25,1,35000.00,946,0,2,4,1,1,1,1
16636,29,0,19000.00,946,0,3,6,1,1,1,1
16637,29,0,17000.00,946,0,2,4,1,1,1,1
16638,22,0,12500.00,946,0,2,4,1,1,1,1
16639,21,0,5000.00,946,0,2,4,1,1,1,1
16644,21,0,25000.00,946,0,2,4,1,1,1,1
